p_id,start_year,season_days_injured,total_days_injured,season_minutes_played,season_matches_in_squad,total_minutes_played,dob,height_cm,weight_kg,nationality,work_rate,pace,physic,fifa_rating,position,age,cumulative_minutes_played,minutes_per_game_prev_seasons,avg_days_injured_prev_seasons,avg_games_per_season_prev_seasons,bmi,work_rate_numeric,position_numeric,significant_injury_prev_season,cumulative_days_injured,season_days_injured_prev_season
andreaschristensen,2018,15,146,655.0,30,6219.0,1996-04-10,187.66666666666663,77.83333333333333,Denmark,Low/Medium,64.5,69.66666666666667,77.16666666666667,Defender,22,2178.0,80.66666666666667,12.0,27.0,22.09995299224846,2.5,2,0.0,146.0,12.0
andreaschristensen,2019,40,146,1842.0,35,6219.0,1996-04-10,187.66666666666663,77.83333333333333,Denmark,Low/Medium,64.5,69.66666666666667,77.16666666666667,Defender,23,2833.0,80.94285714285714,13.5,17.5,22.09995299224846,2.5,2,0.0,292.0,15.0
andreaschristensen,2020,54,146,1544.0,23,6219.0,1996-04-10,187.66666666666663,77.83333333333333,Denmark,Low/Medium,64.5,69.66666666666667,77.16666666666667,Defender,24,4675.0,83.48214285714286,22.333333333333332,18.666666666666668,22.09995299224846,2.5,2,0.0,438.0,40.0
andrewrobertson,2017,2,79,2038.0,27,15150.0,1994-03-11,178.0,63.66666666666666,Scotland,High/High,82.33333333333333,72.66666666666667,79.33333333333333,Defender,23,2887.0,87.48484848484848,42.0,33.0,20.094264192231616,4.0,2,0.0,79.0,42.0
andrewrobertson,2018,20,79,3384.0,37,15150.0,1994-03-11,178.0,63.66666666666666,Scotland,High/High,82.33333333333333,72.66666666666667,79.33333333333333,Defender,24,4925.0,89.54545454545455,22.0,27.5,20.094264192231616,4.0,2,0.0,158.0,2.0
andrewrobertson,2019,11,79,3278.0,36,15150.0,1994-03-11,178.0,63.66666666666666,Scotland,High/High,82.33333333333333,72.66666666666667,79.33333333333333,Defender,25,8309.0,91.3076923076923,21.333333333333332,30.333333333333332,20.094264192231616,4.0,2,0.0,237.0,20.0
andrewrobertson,2020,4,79,3563.0,38,15150.0,1994-03-11,178.0,63.66666666666666,Scotland,High/High,82.33333333333333,72.66666666666667,79.33333333333333,Defender,26,11587.0,91.23622047244096,18.75,31.75,20.094264192231616,4.0,2,0.0,316.0,11.0
andrewsurman,2018,82,234,1522.0,30,5672.0,1986-08-20,178.0,73.0,England,Medium/Medium,59.0,69.4,74.8,Midfielder,32,1927.0,87.5909090909091,106.0,22.0,23.04002019946976,3.0,3,0.0,234.0,106.0
andrewsurman,2019,46,234,251.0,29,5672.0,1986-08-20,178.0,73.0,England,Medium/Medium,59.0,69.4,74.8,Midfielder,33,3449.0,86.225,94.0,20.0,23.04002019946976,3.0,3,0.0,468.0,82.0
andriyyarmolenko,2019,82,419,1061.0,24,1979.0,1989-10-23,189.75,82.5,Ukraine,High/Medium,71.75,71.25,79.25,Forward,30,485.0,53.888888888888886,222.0,9.0,22.91344446353898,3.5,4,1.0,419.0,222.0
andriyyarmolenko,2020,53,419,433.0,25,1979.0,1989-10-23,189.75,82.5,Ukraine,High/Medium,71.75,71.25,79.25,Forward,31,1546.0,48.3125,152.0,16.0,22.91344446353898,3.5,4,0.0,838.0,82.0
andycarroll,2017,99,949,874.0,21,3905.0,1989-01-06,192.33333333333331,79.0,England,Medium/High,54.66666666666666,81.83333333333333,76.66666666666667,Forward,28,1375.0,76.38888888888889,285.0,18.0,21.35590471241617,3.5,4,1.0,949.0,285.0
andycarroll,2018,337,949,505.0,16,3905.0,1989-01-06,192.33333333333331,79.0,England,Medium/High,54.66666666666666,81.83333333333333,76.66666666666667,Forward,29,2249.0,66.1470588235294,192.0,17.0,21.35590471241617,3.5,4,0.0,1898.0,99.0
andycarroll,2019,190,949,708.0,21,3905.0,1989-01-06,192.33333333333331,79.0,England,Medium/High,54.66666666666666,81.83333333333333,76.66666666666667,Forward,30,2754.0,59.869565217391305,240.33333333333337,15.333333333333334,21.35590471241617,3.5,4,1.0,2847.0,337.0
andycarroll,2020,38,949,443.0,35,3905.0,1989-01-06,192.33333333333331,79.0,England,Medium/High,54.66666666666666,81.83333333333333,76.66666666666667,Forward,31,3462.0,53.261538461538464,227.75,16.25,21.35590471241617,3.5,4,1.0,3796.0,190.0
angeloogbonna,2019,11,281,2937.0,36,12444.0,1988-05-23,191.0,86.0,Italy,Medium/Medium,64.66666666666667,75.83333333333333,78.33333333333333,Defender,31,1850.0,92.5,200.0,20.0,23.573915188728375,3.0,2,1.0,281.0,200.0
angeloogbonna,2020,70,281,2628.0,29,12444.0,1988-05-23,191.0,86.0,Italy,Medium/Medium,64.66666666666667,75.83333333333333,78.33333333333333,Defender,32,4787.0,93.8627450980392,105.5,25.5,23.573915188728375,3.0,2,0.0,562.0,11.0
anthonymartial,2017,14,285,1671.0,34,9291.0,1995-12-05,183.4,76.0,France,Medium/Low,89.6,73.0,82.8,Forward,22,1582.0,63.28,7.0,25.0,22.5951344351038,2.5,4,0.0,285.0,7.0
anthonymartial,2018,55,285,1704.0,30,9291.0,1995-12-05,183.4,76.0,France,Medium/Low,89.6,73.0,82.8,Forward,23,3253.0,59.14545454545455,10.5,27.5,22.5951344351038,2.5,4,0.0,570.0,14.0
anthonymartial,2019,74,285,2723.0,32,9291.0,1995-12-05,183.4,76.0,France,Medium/Low,89.6,73.0,82.8,Forward,24,4957.0,60.45121951219512,25.333333333333332,27.333333333333332,22.5951344351038,2.5,4,0.0,855.0,55.0
anthonymartial,2020,135,285,1611.0,23,9291.0,1995-12-05,183.4,76.0,France,Medium/Low,89.6,73.0,82.8,Forward,25,7680.0,67.36842105263158,37.5,28.5,22.5951344351038,2.5,4,0.0,1140.0,74.0
arthurmasuaku,2018,40,321,1862.0,35,6938.0,1993-11-07,179.0,70.0,DR Congo,High/Medium,85.0,71.5,75.66666666666667,Defender,25,1026.0,78.92307692307692,160.0,13.0,21.84700852033332,3.5,2,1.0,321.0,160.0
arthurmasuaku,2019,24,321,1030.0,24,6938.0,1993-11-07,179.0,70.0,DR Congo,High/Medium,85.0,71.5,75.66666666666667,Defender,26,2888.0,80.22222222222223,100.0,18.0,21.84700852033332,3.5,2,0.0,642.0,40.0
arthurmasuaku,2020,97,321,1045.0,12,6938.0,1993-11-07,179.0,70.0,DR Congo,High/Medium,85.0,71.5,75.66666666666667,Defender,27,3918.0,73.9245283018868,74.66666666666667,17.666666666666668,21.84700852033332,3.5,2,0.0,963.0,24.0
ashleybarnes,2017,64,468,2302.0,37,9479.0,1989-10-30,186.0,80.16666666666667,Austria,High/High,65.33333333333333,79.66666666666667,74.66666666666667,Forward,28,1861.0,66.46428571428571,96.0,28.0,23.17223571125756,4.0,4,0.0,468.0,96.0
ashleybarnes,2019,299,468,1396.0,19,9479.0,1989-10-30,186.0,80.16666666666667,Austria,High/High,65.33333333333333,79.66666666666667,74.66666666666667,Forward,30,4163.0,65.046875,80.0,32.0,23.17223571125756,4.0,4,0.0,936.0,64.0
ashleybarnes,2020,9,468,1396.0,25,9479.0,1989-10-30,186.0,80.16666666666667,Austria,High/High,65.33333333333333,79.66666666666667,74.66666666666667,Forward,31,5559.0,66.97590361445783,153.0,27.666666666666668,23.17223571125756,4.0,4,1.0,1404.0,299.0
ashleywestwood,2019,24,36,3325.0,35,11680.0,1990-04-01,172.16666666666666,70.0,England,Medium/Medium,62.5,69.33333333333333,75.5,Midfielder,29,3325.0,95.0,24.0,35.0,23.615649678705335,3.0,3,0.0,36.0,24.0
ashleywestwood,2020,12,36,3596.0,38,11680.0,1990-04-01,172.16666666666666,70.0,England,Medium/Medium,62.5,69.33333333333333,75.5,Midfielder,30,10246.0,94.87037037037037,20.0,36.0,23.615649678705335,3.0,3,0.0,108.0,12.0
ashleyyoung,2018,7,125,2752.0,36,7134.0,1985-07-09,175.0,65.0,England,High/Medium,76.16666666666667,64.0,78.0,Defender,33,804.0,67.0,118.0,12.0,21.22448979591837,3.5,2,0.0,125.0,118.0
axeltuanzebe,2020,123,333,427.0,30,955.0,1997-11-14,185.0,73.2,England,Medium/Medium,76.4,72.6,71.8,Defender,23,210.0,42.0,113.0,5.0,21.387874360847334,3.0,2,0.0,333.0,113.0
aymericlaporte,2019,281,358,1139.0,17,6636.0,1994-05-27,189.0,85.0,France,Medium/Medium,66.5,79.0,84.66666666666667,Defender,25,3227.0,92.2,14.0,35.0,23.79552644102909,3.0,2,0.0,358.0,14.0
aymericlaporte,2020,28,358,1423.0,28,6636.0,1994-05-27,189.0,85.0,France,Medium/Medium,66.5,79.0,84.66666666666667,Defender,26,4366.0,87.32,147.5,25.0,23.79552644102909,3.0,2,1.0,716.0,281.0
bakarysako,2017,255,350,538.0,20,753.0,1988-04-26,183.66666666666663,90.33333333333331,Mali,High/Medium,80.0,76.0,74.0,Midfielder,29,171.0,24.428571428571427,79.0,7.0,26.778567923030565,3.5,3,0.0,350.0,79.0
bakarysako,2018,16,350,44.0,7,753.0,1988-04-26,183.66666666666663,90.33333333333331,Mali,High/Medium,80.0,76.0,74.0,Midfielder,30,709.0,30.82608695652174,167.0,11.5,26.778567923030565,3.5,3,1.0,700.0,255.0
benchilwell,2017,59,254,1979.0,32,11053.0,1996-12-21,178.0,75.16666666666667,England,High/High,77.33333333333333,67.83333333333333,72.5,Defender,21,754.0,62.833333333333336,63.0,12.0,23.72385641543576,4.0,2,0.0,254.0,63.0
benchilwell,2018,24,254,3420.0,36,11053.0,1996-12-21,178.0,75.16666666666667,England,High/High,77.33333333333333,67.83333333333333,72.5,Defender,22,2733.0,75.91666666666667,61.0,18.0,23.72385641543576,4.0,2,0.0,508.0,59.0
benchilwell,2019,31,254,2500.0,28,11053.0,1996-12-21,178.0,75.16666666666667,England,High/High,77.33333333333333,67.83333333333333,72.5,Defender,23,6153.0,85.45833333333333,48.666666666666664,24.0,23.72385641543576,4.0,2,0.0,762.0,24.0
benchilwell,2020,77,254,2400.0,34,11053.0,1996-12-21,178.0,75.16666666666667,England,High/High,77.33333333333333,67.83333333333333,72.5,Defender,24,8653.0,87.4040404040404,44.25,24.75,23.72385641543576,4.0,2,0.0,1016.0,31.0
bendavies_1981,2016,42,330,1845.0,34,9213.0,1981-05-27,170.0,67.0,England,High/Medium,64.0,72.0,65.0,Defender,35,1845.0,80.21739130434783,42.0,23.0,23.18339100346021,3.5,2,0.0,330.0,42.0
bendavies_1993,2016,42,330,1845.0,34,9213.0,1993-04-24,181.66666666666663,75.16666666666667,Wales,Medium/High,75.5,73.0,78.66666666666667,Defender,23,3690.0,80.21739130434783,42.0,23.0,22.775860617793125,3.5,2,0.0,660.0,42.0
bendavies_1993,2016,42,330,1845.0,34,9213.0,1993-04-24,181.66666666666663,75.16666666666667,Wales,Medium/High,75.5,73.0,78.66666666666667,Defender,23,5535.0,80.21739130434783,42.0,23.0,22.775860617793125,3.5,2,0.0,990.0,42.0
bendavies_1995,2016,42,330,1845.0,34,9213.0,1995-08-11,185.0,74.0,England,Medium/Medium,70.6,70.4,68.0,Defender,21,7380.0,80.21739130434783,42.0,23.0,21.62162162162162,3.0,2,0.0,1320.0,42.0
bendavies_1995,2016,42,330,1845.0,34,9213.0,1995-08-11,185.0,74.0,England,Medium/Medium,70.6,70.4,68.0,Defender,21,9225.0,80.21739130434783,42.0,23.0,21.62162162162162,3.0,2,0.0,1650.0,42.0
bendavies_1981,2018,32,330,1964.0,34,9213.0,1981-05-27,170.0,67.0,England,High/Medium,64.0,72.0,65.0,Defender,37,11070.0,80.21739130434783,42.0,23.0,23.18339100346021,3.5,2,0.0,1980.0,42.0
bendavies_1981,2018,32,330,1964.0,34,9213.0,1981-05-27,170.0,67.0,England,High/Medium,64.0,72.0,65.0,Defender,37,13034.0,78.9939393939394,40.57142857142857,23.571428571428573,23.18339100346021,3.5,2,0.0,2310.0,32.0
bendavies_1993,2018,32,330,1964.0,34,9213.0,1993-04-24,181.66666666666663,75.16666666666667,Wales,Medium/High,75.5,73.0,78.66666666666667,Defender,25,14998.0,78.11458333333333,39.5,24.0,22.775860617793125,3.5,2,0.0,2640.0,32.0
bendavies_1993,2018,32,330,1964.0,34,9213.0,1993-04-24,181.66666666666663,75.16666666666667,Wales,Medium/High,75.5,73.0,78.66666666666667,Defender,25,16962.0,77.45205479452055,38.666666666666664,24.333333333333332,22.775860617793125,3.5,2,0.0,2970.0,32.0
bendavies_1995,2018,32,330,1964.0,34,9213.0,1995-08-11,185.0,74.0,England,Medium/Medium,70.6,70.4,68.0,Defender,23,18926.0,76.9349593495935,38.0,24.6,21.62162162162162,3.0,2,0.0,3300.0,32.0
bendavies_1995,2018,32,330,1964.0,34,9213.0,1995-08-11,185.0,74.0,England,Medium/Medium,70.6,70.4,68.0,Defender,23,20890.0,76.52014652014653,37.45454545454545,24.818181818181817,21.62162162162162,3.0,2,0.0,3630.0,32.0
bendavies_1981,2019,153,330,1508.0,24,9213.0,1981-05-27,170.0,67.0,England,High/Medium,64.0,72.0,65.0,Defender,38,22854.0,76.18,37.0,25.0,23.18339100346021,3.5,2,0.0,3960.0,32.0
bendavies_1981,2019,153,330,1508.0,24,9213.0,1981-05-27,170.0,67.0,England,High/Medium,64.0,72.0,65.0,Defender,38,24362.0,76.61006289308176,45.92307692307692,24.46153846153846,23.18339100346021,3.5,2,1.0,4290.0,153.0
bendavies_1993,2019,153,330,1508.0,24,9213.0,1993-04-24,181.66666666666663,75.16666666666667,Wales,Medium/High,75.5,73.0,78.66666666666667,Defender,26,25870.0,76.99404761904762,53.57142857142857,24.0,22.775860617793125,3.5,2,1.0,4620.0,153.0
bendavies_1993,2019,153,330,1508.0,24,9213.0,1993-04-24,181.66666666666663,75.16666666666667,Wales,Medium/High,75.5,73.0,78.66666666666667,Defender,26,27378.0,77.33898305084746,60.2,23.6,22.775860617793125,3.5,2,1.0,4950.0,153.0
bendavies_1995,2019,153,330,1508.0,24,9213.0,1995-08-11,185.0,74.0,England,Medium/Medium,70.6,70.4,68.0,Defender,24,28886.0,77.65053763440861,66.0,23.25,21.62162162162162,3.0,2,1.0,5280.0,153.0
bendavies_1995,2019,153,330,1508.0,24,9213.0,1995-08-11,185.0,74.0,England,Medium/Medium,70.6,70.4,68.0,Defender,24,30394.0,77.93333333333334,71.11764705882354,22.941176470588236,21.62162162162162,3.0,2,1.0,5610.0,153.0
bendavies_1981,2020,103,330,1440.0,33,9213.0,1981-05-27,170.0,67.0,England,High/Medium,64.0,72.0,65.0,Defender,39,31902.0,78.19117647058823,75.66666666666667,22.666666666666668,23.18339100346021,3.5,2,1.0,5940.0,153.0
bendavies_1981,2020,103,330,1440.0,33,9213.0,1981-05-27,170.0,67.0,England,High/Medium,64.0,72.0,65.0,Defender,39,33342.0,77.90186915887851,77.10526315789474,22.526315789473685,23.18339100346021,3.5,2,0.0,6270.0,103.0
bendavies_1993,2020,103,330,1440.0,33,9213.0,1993-04-24,181.66666666666663,75.16666666666667,Wales,Medium/High,75.5,73.0,78.66666666666667,Defender,27,34782.0,77.63839285714286,78.4,22.4,22.775860617793125,3.5,2,0.0,6600.0,103.0
bendavies_1993,2020,103,330,1440.0,33,9213.0,1993-04-24,181.66666666666663,75.16666666666667,Wales,Medium/High,75.5,73.0,78.66666666666667,Defender,27,36222.0,77.3974358974359,79.57142857142857,22.285714285714285,22.775860617793125,3.5,2,0.0,6930.0,103.0
bendavies_1995,2020,103,330,1440.0,33,9213.0,1995-08-11,185.0,74.0,England,Medium/Medium,70.6,70.4,68.0,Defender,25,37662.0,77.17622950819673,80.63636363636364,22.181818181818183,21.62162162162162,3.0,2,0.0,7260.0,103.0
bendavies_1995,2020,103,330,1440.0,33,9213.0,1995-08-11,185.0,74.0,England,Medium/Medium,70.6,70.4,68.0,Defender,25,39102.0,76.9724409448819,81.6086956521739,22.08695652173913,21.62162162162162,3.0,2,0.0,7590.0,103.0
bengibson,2019,188,277,0.0,11,3673.0,1993-01-15,185.0,78.0,England,Medium/Medium,57.16666666666666,69.16666666666667,70.66666666666667,Defender,26,63.0,63.0,89.0,1.0,22.79035792549306,3.0,2,0.0,277.0,89.0
bengodfrey,2020,11,55,2838.0,33,5643.0,1998-01-15,183.33333333333331,74.66666666666667,England,Medium/High,68.33333333333333,72.5,64.16666666666667,Defender,22,2805.0,93.5,44.0,30.0,22.214876033057863,3.5,2,0.0,55.0,44.0
benjaminmendy,2018,351,778,950.0,11,3902.0,1994-07-17,185.0,83.33333333333333,France,High/Medium,79.66666666666667,77.66666666666667,78.5,Defender,24,391.0,55.857142857142854,247.0,7.0,24.348672997321643,3.5,2,1.0,778.0,247.0
benjaminmendy,2019,58,778,1561.0,27,3902.0,1994-07-17,185.0,83.33333333333333,France,High/Medium,79.66666666666667,77.66666666666667,78.5,Defender,25,1341.0,78.88235294117646,299.0,8.5,24.348672997321643,3.5,2,1.0,1556.0,351.0
benjaminmendy,2020,58,778,1000.0,32,3902.0,1994-07-17,185.0,83.33333333333333,France,High/Medium,79.66666666666667,77.66666666666667,78.5,Defender,26,2902.0,80.61111111111111,218.66666666666663,12.0,24.348672997321643,3.5,2,0.0,2334.0,58.0
benmee,2020,132,189,2839.0,30,15424.0,1989-09-23,181.0,78.0,England,Medium/High,65.0,78.83333333333333,76.83333333333333,Defender,31,2755.0,95.0,57.0,29.0,23.808797045267237,3.5,2,0.0,189.0,57.0
beramkayal,2018,10,81,1011.0,37,1819.0,1988-05-02,178.0,74.0,Israel,Medium/High,69.8,78.0,71.8,Midfielder,30,808.0,42.526315789473685,71.0,19.0,23.355636914530994,3.5,3,0.0,81.0,71.0
berndleno,2019,67,105,2795.0,30,9067.0,1992-03-04,190.0,82.66666666666667,Germany,Medium/Medium,72.8,53.0,84.66666666666667,Goalkeeper,27,2947.0,92.09375,35.0,32.0,22.899353647276087,3.0,1,0.0,105.0,35.0
bradsmith,2017,136,338,0.0,8,280.0,1994-04-09,176.8,70.0,Australia,High/Medium,79.2,65.8,65.6,Defender,23,280.0,56.0,35.0,5.0,22.39409512499744,3.5,2,0.0,338.0,35.0
brandonwilliams,2020,22,26,203.0,20,1263.0,2000-09-03,182.0,70.0,England,High/Medium,81.0,69.0,75.0,Defender,20,1060.0,62.35294117647059,4.0,17.0,21.132713440405748,3.5,2,0.0,26.0,4.0
branislavivanovic,2020,10,46,815.0,20,1459.0,1984-02-22,185.0,91.0,Serbia,High/Medium,63.5,83.5,80.5,Defender,36,644.0,49.53846153846154,21.0,13.0,26.58875091307523,3.5,2,0.0,46.0,21.0
bukayosaka,2020,10,22,2669.0,36,4519.0,2001-09-05,178.0,67.5,England,High/High,83.5,61.0,70.0,Midfielder,19,1838.0,70.6923076923077,12.0,26.0,21.304128266633,4.0,3,0.0,22.0,12.0
callumrobinson,2020,11,127,1628.0,38,2349.0,1995-02-02,178.0,75.0,England,High/Medium,82.33333333333333,58.5,68.0,Forward,25,721.0,45.0625,10.0,16.0,23.671253629592226,3.5,4,0.0,127.0,10.0
callumwilson_1997,2016,260,443,1402.0,22,11374.0,1997-07-02,182.0,68.0,England,High/Medium,68.0,55.0,53.0,Forward,19,1402.0,70.1,260.0,20.0,20.52892162782273,3.5,4,1.0,443.0,260.0
