p_id2,start_year,season_days_injured,total_days_injured,season_minutes_played,season_games_played,season_matches_in_squad,total_minutes_played,total_games_played,dob,height_cm,weight_kg,nationality,work_rate,pace,physic,fifa_rating,position,age,cumulative_minutes_played,cumulative_games_played,minutes_per_game_prev_seasons,avg_days_injured_prev_seasons,avg_games_per_season_prev_seasons,bmi,work_rate_numeric,position_numeric,significant_injury_prev_season,cumulative_days_injured,season_days_injured_prev_season
aboubakarkamara,2018,42,124,745.0,13,17,1102.0,24,1995-03-07,177.0,78.5,France,High/Medium,75.83333333333333,67.33333333333333,67.33333333333333,Forward,23,,,,,,25.056656771681187,3.5,2.0,,,
adamfederici,2016,157,365,190.0,2,22,190.0,2,1985-01-31,188.0,90.0,Australia,Medium/Medium,,,72.0,Goalkeeper,31,,,,,,25.46401086464464,3.0,0.0,,,
adamidah,2019,28,194,273.0,12,17,273.0,12,2001-02-11,190.wwwww0,83.0,Republic of Ireland,High/Medium,74.5,63.0,64.0,Forward,18,,,,,,22.991689750692522,3.5,2.0,,,
adamlallana,2016,63,413,2425.0,31,31,5339.0,101,1988-05-10,175.0,73.0,England,High/High,70.5,68.83333333333333,80.16666666666667,Midfielder,28,,,,,,23.836734693877553,4.0,3.0,,,
adamlallana,2017,160,413,285.0,12,14,5339.0,101,1988-05-10,175.0,73.0,England,High/High,70.5,68.83333333333333,80.16666666666667,Midfielder,29,2425.0,31.0,78.2258064516129,63.0,31.0,23.836734693877553,4.0,3.0,0.0,413.0,63.0
adamlallana,2018,142,413,505.0,13,24,5339.0,101,1988-05-10,175.0,73.0,England,High/High,70.5,68.83333333333333,80.16666666666667,Midfielder,30,2710.0,43.0,63.02325581395349,111.5,21.5,23.836734693877553,4.0,3.0,1.0,826.0,160.0
adamlallana,2020,48,413,1693.0,30,31,5339.0,101,1988-05-10,175.0,73.0,England,High/High,70.5,68.83333333333333,80.16666666666667,Midfielder,32,3215.0,56.0,57.410714285714285,121.66666666666667,18.666666666666668,23.836734693877553,4.0,3.0,1.0,1239.0,142.0
adamsmith,2017,49,270,2194.0,27,28,9828.0,112,1991-04-29,180.0,79.0,England,High/Medium,74.0,67.83333333333333,73.33333333333333,Defender,26,,,,,,24.382716049382715,3.5,1.0,,,
adamsmith,2017,49,270,2194.0,27,28,9828.0,112,1991-04-29,180.0,79.0,England,High/Medium,74.0,67.83333333333333,73.33333333333333,Goalkeeper,26,2194.0,27.0,81.25925925925925,49.0,27.0,24.382716049382715,3.5,0.0,0.0,270.0,49.0
adamsmith,2017,49,270,2194.0,27,28,9828.0,112,1992-11-23,186.4,70.0,England,Medium/Medium,,,62.6,Defender,25,4388.0,54.0,81.25925925925925,49.0,27.0,20.146806903792665,3.0,1.0,0.0,540.0,49.0
adamsmith,2017,49,270,2194.0,27,28,9828.0,112,1992-11-23,186.4,70.0,England,Medium/Medium,,,62.6,Goalkeeper,25,6582.0,81.0,81.25925925925925,49.0,27.0,20.146806903792665,3.0,0.0,0.0,810.0,49.0
adamsmith,2018,107,270,2200.0,25,25,9828.0,112,1991-04-29,180.0,79.0,England,High/Medium,74.0,67.83333333333333,73.33333333333333,Defender,27,8776.0,108.0,81.25925925925925,49.0,27.0,24.382716049382715,3.5,1.0,0.0,1080.0,49.0
adamsmith,2018,107,270,2200.0,25,25,9828.0,112,1991-04-29,180.0,79.0,England,High/Medium,74.0,67.83333333333333,73.33333333333333,Goalkeeper,27,10976.0,133.0,82.52631578947368,60.6,26.6,24.382716049382715,3.5,0.0,0.0,1350.0,107.0
adamsmith,2018,107,270,2200.0,25,25,9828.0,112,1992-11-23,186.4,70.0,England,Medium/Medium,,,62.6,Defender,26,13176.0,158.0,83.39240506329114,68.33333333333333,26.333333333333332,20.146806903792665,3.0,1.0,0.0,1620.0,107.0
adamsmith,2018,107,270,2200.0,25,25,9828.0,112,1992-11-23,186.4,70.0,England,Medium/Medium,,,62.6,Goalkeeper,26,15376.0,183.0,84.02185792349727,73.85714285714286,26.142857142857142,20.146806903792665,3.0,0.0,0.0,1890.0,107.0
adamsmith,2019,93,270,2155.0,24,24,9828.0,112,1991-04-29,180.0,79.0,England,High/Medium,74.0,67.83333333333333,73.33333333333333,Defender,28,17576.0,208.0,84.5,78.0,26.0,24.382716049382715,3.5,1.0,0.0,2160.0,107.0
adamsmith,2019,93,270,2155.0,24,24,9828.0,112,1991-04-29,180.0,79.0,England,High/Medium,74.0,67.83333333333333,73.33333333333333,Goalkeeper,28,19731.0,232.0,85.04741379310344,79.66666666666667,25.77777777777778,24.382716049382715,3.5,0.0,0.0,2430.0,93.0
adamsmith,2019,93,270,2155.0,24,24,9828.0,112,1992-11-23,186.4,70.0,England,Medium/Medium,,,62.6,Defender,27,21886.0,256.0,85.4921875,81.0,25.6,20.146806903792665,3.0,1.0,0.0,2700.0,93.0
adamsmith,2019,93,270,2155.0,24,24,9828.0,112,1992-11-23,186.4,70.0,England,Medium/Medium,,,62.6,Goalkeeper,27,24041.0,280.0,85.86071428571428,82.0909090909091,25.454545454545453,20.146806903792665,3.0,0.0,0.0,2970.0,93.0
adamwebster,2019,31,489,2815.0,31,36,5550.0,60,1995-01-04,190.0,75.0,England,Medium/Medium,66.0,70.83333333333333,70.0,Defender,24,,,,,,20.775623268698062,3.0,1.0,,,
adamwebster,2020,16,489,2735.0,29,31,5550.0,60,1995-01-04,190.0,75.0,England,Medium/Medium,66.0,70.83333333333333,70.0,Defender,25,2815.0,31.0,90.80645161290323,31.0,31.0,20.775623268698062,3.0,1.0,0.0,489.0,31.0
ademolalookman,2018,78,105,701.0,21,30,4069.0,70,1997-10-20,174.0,76.6,England,High/Medium,82.6,58.8,69.4,Forward,21,,,,,,25.30056810675122,3.5,2.0,,,
ademolalookman,2020,8,105,2872.0,34,34,4069.0,70,1997-10-20,174.0,76.6,England,High/Medium,82.6,58.8,69.4,Forward,23,701.0,21.0,33.38095238095238,78.0,21.0,25.30056810675122,3.5,2.0,0.0,105.0,78.0
adnanjanuzaj,2016,42,272,1715.0,25,31,1715.0,25,1995-02-05,184.0,75.5,Belgium,Medium/Low,78.66666666666667,54.16666666666666,77.5,Midfielder,21,,,,,,22.30033081285444,2.5,3.0,,,
adrianmariappa,2016,52,52,596.0,7,17,6575.0,81,1986-10-03,179.2,79.4,Jamaica,Medium/Medium,64.8,71.4,72.8,Defender,30,,,,,,24.725466358418373,3.0,1.0,,,
ahmedelmohamady,2020,54,60,856.0,14,38,4703.0,65,1987-09-09,182.33333333333331,78.0,Egypt,High/Medium,74.5,72.16666666666667,72.33333333333333,Defender,33,,,,,,23.461861107119105,3.5,1.0,,,
albianajeti,2019,16,32,175.0,9,28,175.0,9,1997-02-26,183.0,77.33333333333333,Switzerland,High/Medium,76.83333333333333,68.83333333333333,69.0,Forward,22,,,,,,23.092159614599815,3.5,2.0,,,
aleksandarmitrovic,2017,41,96,119.0,6,10,5095.0,70,1994-09-16,188.33333333333331,84.66666666666667,Serbia,Medium/Medium,61.66666666666666,80.83333333333333,76.33333333333333,Forward,23,,,,,,23.870310909233307,3.0,2.0,,,
aleksandarmitrovic,2020,17,96,1520.0,27,30,5095.0,70,1994-09-16,188.33333333333331,84.66666666666667,Serbia,Medium/Medium,61.66666666666666,80.83333333333333,76.33333333333333,Forward,26,119.0,6.0,19.833333333333332,41.0,6.0,23.870310909233307,3.0,2.0,0.0,96.0,41.0
alexandertettey,2019,46,160,2432.0,30,33,2432.0,30,1986-04-04,180.0,68.0,Norway,Medium/High,67.16666666666667,79.33333333333333,72.66666666666667,Midfielder,33,,,,,,20.98765432098765,3.5,3.0,,,
alexandrelacazette,2017,44,151,2291.0,32,33,8906.0,128,1991-05-28,175.16666666666666,73.66666666666667,France,High/High,83.16666666666667,74.5,84.5,Forward,26,,,,,,24.008669193672652,4.0,2.0,,,
alexandrelacazette,2018,19,151,2635.0,35,37,8906.0,128,1991-05-28,175.16666666666666,73.66666666666667,France,High/High,83.16666666666667,74.5,84.5,Forward,27,2291.0,32.0,71.59375,44.0,32.0,24.008669193672652,4.0,2.0,0.0,151.0,44.0
alexandrelacazette,2019,48,151,1965.0,30,34,8906.0,128,1991-05-28,175.16666666666666,73.66666666666667,France,High/High,83.16666666666667,74.5,84.5,Forward,28,4926.0,67.0,73.5223880597015,31.5,33.5,24.008669193672652,4.0,2.0,0.0,302.0,19.0
alexandrelacazette,2020,1,151,2015.0,31,36,8906.0,128,1991-05-28,175.16666666666666,73.66666666666667,France,High/High,83.16666666666667,74.5,84.5,Forward,29,6891.0,97.0,71.04123711340206,37.0,32.333333333333336,24.008669193672652,4.0,2.0,0.0,453.0,48.0
alexismacallister,2020,38,38,1178.0,21,30,1550.0,30,1998-12-24,175.0,71.0,Argentina,Medium/Medium,69.5,57.75,70.0,Midfielder,22,,,,,,23.183673469387756,3.0,3.0,,,
alexiwobi,2016,27,63,1522.0,26,35,8771.0,142,1996-05-03,181.0,73.5,Nigeria,Medium/Medium,77.83333333333333,63.833333333333336,71.83333333333333,Forward,20,,,,,,22.435212600347974,3.0,2.0,,,
alexiwobi,2018,1,63,2072.0,35,36,8771.0,142,1996-05-03,181.0,73.5,Nigeria,Medium/Medium,77.83333333333333,63.833333333333336,71.83333333333333,Forward,22,1522.0,26.0,58.53846153846154,27.0,26.0,22.435212600347974,3.0,2.0,0.0,63.0,27.0
alexiwobi,2019,35,63,1657.0,25,30,8771.0,142,1996-05-03,181.0,73.5,Nigeria,Medium/Medium,77.83333333333333,63.833333333333336,71.83333333333333,Forward,23,3594.0,61.0,58.91803278688525,14.0,30.5,22.435212600347974,3.0,2.0,0.0,126.0,1.0
alexmccarthy,2016,291,368,0.0,0,9,9595.0,101,1989-12-03,193.0,79.0,England,Medium/Medium,,,76.0,Goalkeeper,27,,,,,,21.20862305028323,3.0,0.0,,,
alexmccarthy,2018,52,368,2375.0,25,33,9595.0,101,1989-12-03,193.0,79.0,England,Medium/Medium,,,76.0,Goalkeeper,29,0.0,0.0,,291.0,0.0,21.20862305028323,3.0,0.0,1.0,368.0,291.0
alexmccarthy,2019,9,368,2660.0,28,36,9595.0,101,1989-12-03,193.0,79.0,England,Medium/Medium,,,76.0,Goalkeeper,30,2375.0,25.0,95.0,171.5,12.5,21.20862305028323,3.0,0.0,0.0,736.0,52.0
alexmccarthy,2020,16,368,2850.0,30,37,9595.0,101,1989-12-03,193.0,79.0,England,Medium/Medium,,,76.0,Goalkeeper,31,5035.0,53.0,95.0,117.33333333333333,17.666666666666668,21.20862305028323,3.0,0.0,0.0,1104.0,9.0
alexpritchard,2017,132,191,1088.0,14,16,3261.0,44,1993-05-03,171.0,62.0,England,High/Medium,70.83333333333333,51.0,72.5,Midfielder,24,,,,,,21.20310522895934,3.5,3.0,,,
alexpritchard,2018,16,191,2173.0,30,37,3261.0,44,1993-05-03,171.0,62.0,England,High/Medium,70.83333333333333,51.0,72.5,Midfielder,25,1088.0,14.0,77.71428571428571,132.0,14.0,21.20310522895934,3.5,3.0,1.0,191.0,132.0
alexsmithies,2018,50,50,0.0,0,26,0.0,0,1990-03-05,188.16666666666663,88.0,England,Medium/Medium,,,71.33333333333333,Goalkeeper,28,,,,,,24.854056946230358,3.0,0.0,,,
alfiemawson,2018,193,671,1195.0,15,19,7370.0,80,1994-01-19,188.33333333333331,86.0,England,Medium/High,54.16666666666666,71.0,69.83333333333333,Defender,24,,,,,,24.24622131725273,3.5,1.0,,,
alirezajahanbakhsh,2018,68,201,1075.0,19,24,2008.0,50,1993-08-11,180.0,77.0,Iran,High/High,82.16666666666667,70.16666666666667,74.33333333333333,Forward,25,,,,,,23.76543209876543,4.0,2.0,,,
alirezajahanbakhsh,2019,31,201,339.0,10,19,2008.0,50,1993-08-11,180.0,77.0,Iran,High/High,82.16666666666667,70.16666666666667,74.33333333333333,Forward,26,1075.0,19.0,56.578947368421055,68.0,19.0,23.76543209876543,4.0,2.0,0.0,201.0,68.0
alirezajahanbakhsh,2020,78,201,594.0,21,27,2008.0,50,1993-08-11,180.0,77.0,Iran,High/High,82.16666666666667,70.16666666666667,74.33333333333333,Forward,27,1414.0,29.0,48.758620689655174,49.5,14.5,23.76543209876543,4.0,2.0,0.0,402.0,31.0
andrearanocchia,2016,11,50,1404.0,16,16,1404.0,16,1988-02-16,195.0,81.0,Italy,Low/Medium,41.333333333333336,72.66666666666667,75.83333333333333,Defender,28,,,,,,21.301775147928996,2.5,1.0,,,
andreaschristensen,2017,12,146,2178.0,27,36,6219.0,73,1996-04-10,187.66666666666663,77.83333333333333,Denmark,Low/Medium,64.5,69.66666666666667,77.16666666666667,Defender,21,,,,,,22.09995299224846,2.5,1.0,,,
andreaschristensen,2018,15,146,655.0,8,30,6219.0,73,1996-04-10,187.66666666666663,77.83333333333333,Denmark,Low/Medium,64.5,69.66666666666667,77.16666666666667,Defender,22,2178.0,27.0,80.66666666666667,12.0,27.0,22.09995299224846,2.5,1.0,0.0,146.0,12.0
andreaschristensen,2019,40,146,1842.0,21,35,6219.0,73,1996-04-10,187.66666666666663,77.83333333333333,Denmark,Low/Medium,64.5,69.66666666666667,77.16666666666667,Defender,23,2833.0,35.0,80.94285714285714,13.5,17.5,22.09995299224846,2.5,1.0,0.0,292.0,15.0
andreaschristensen,2020,54,146,1544.0,17,23,6219.0,73,1996-04-10,187.66666666666663,77.83333333333333,Denmark,Low/Medium,64.5,69.66666666666667,77.16666666666667,Defender,24,4675.0,56.0,83.48214285714286,22.333333333333332,18.666666666666668,22.09995299224846,2.5,1.0,0.0,438.0,40.0
andregray,2018,43,102,1465.0,29,30,6251.0,115,1991-06-26,180.0,78.0,England,High/Medium,88.0,73.5,74.5,Forward,27,,,,,,24.074074074074073,3.5,2.0,,,
andrewrobertson,2016,42,79,2887.0,33,34,15150.0,165,1994-03-11,178.0,63.66666666666666,Scotland,High/High,82.33333333333333,72.66666666666667,79.33333333333333,Defender,22,,,,,,20.094264192231616,4.0,1.0,,,
andrewrobertson,2017,2,79,2038.0,22,27,15150.0,165,1994-03-11,178.0,63.66666666666666,Scotland,High/High,82.33333333333333,72.66666666666667,79.33333333333333,Defender,23,2887.0,33.0,87.48484848484848,42.0,33.0,20.094264192231616,4.0,1.0,0.0,79.0,42.0
andrewrobertson,2018,20,79,3384.0,36,37,15150.0,165,1994-03-11,178.0,63.66666666666666,Scotland,High/High,82.33333333333333,72.66666666666667,79.33333333333333,Defender,24,4925.0,55.0,89.54545454545455,22.0,27.5,20.094264192231616,4.0,1.0,0.0,158.0,2.0
andrewrobertson,2019,11,79,3278.0,36,36,15150.0,165,1994-03-11,178.0,63.66666666666666,Scotland,High/High,82.33333333333333,72.66666666666667,79.33333333333333,Defender,25,8309.0,91.0,91.3076923076923,21.333333333333332,30.333333333333332,20.094264192231616,4.0,1.0,0.0,237.0,20.0
andrewrobertson,2020,4,79,3563.0,38,38,15150.0,165,1994-03-11,178.0,63.66666666666666,Scotland,High/High,82.33333333333333,72.66666666666667,79.33333333333333,Defender,26,11587.0,127.0,91.23622047244095,18.75,31.75,20.094264192231616,4.0,1.0,0.0,316.0,11.0
andrewsurman,2016,106,234,1927.0,22,22,5672.0,70,1986-08-20,178.0,73.0,England,Medium/Medium,59.0,69.4,74.8,Midfielder,30,,,,,,23.04002019946976,3.0,3.0,,,
andrewsurman,2018,82,234,1522.0,18,30,5672.0,70,1986-08-20,178.0,73.0,England,Medium/Medium,59.0,69.4,74.8,Midfielder,32,1927.0,22.0,87.5909090909091,106.0,22.0,23.04002019946976,3.0,3.0,0.0,234.0,106.0
andrewsurman,2019,46,234,251.0,5,29,5672.0,70,1986-08-20,178.0,73.0,England,Medium/Medium,59.0,69.4,74.8,Midfielder,33,3449.0,40.0,86.225,94.0,20.0,23.04002019946976,3.0,3.0,0.0,468.0,82.0
andriyyarmolenko,2018,222,419,485.0,9,9,1979.0,47,1989-10-23,189.75,82.5,Ukraine,High/Medium,71.75,71.25,79.25,Forward,29,,,,,,22.91344446353898,3.5,2.0,,,
andriyyarmolenko,2019,82,419,1061.0,23,24,1979.0,47,1989-10-23,189.75,82.5,Ukraine,High/Medium,71.75,71.25,79.25,Forward,30,485.0,9.0,53.888888888888886,222.0,9.0,22.91344446353898,3.5,2.0,1.0,419.0,222.0
andriyyarmolenko,2020,53,419,433.0,15,25,1979.0,47,1989-10-23,189.75,82.5,Ukraine,High/Medium,71.75,71.25,79.25,Forward,31,1546.0,32.0,48.3125,152.0,16.0,22.91344446353898,3.5,2.0,0.0,838.0,82.0
androstownsend,2019,65,65,1379.0,24,29,12810.0,168,1991-07-16,180.0,75.66666666666667,England,High/High,82.83333333333333,65.0,77.33333333333333,Midfielder,28,,,,,,23.353909465020575,4.0,3.0,,,
andycarroll,2016,285,949,1375.0,18,19,3905.0,82,1989-01-06,192.33333333333331,79.0,England,Medium/High,54.66666666666666,81.83333333333333,76.66666666666667,Forward,27,,,,,,21.355904712416166,3.5,2.0,,,
andycarroll,2017,99,949,874.0,16,21,3905.0,82,1989-01-06,192.33333333333331,79.0,England,Medium/High,54.66666666666666,81.83333333333333,76.66666666666667,Forward,28,1375.0,18.0,76.38888888888889,285.0,18.0,21.355904712416166,3.5,2.0,1.0,949.0,285.0
andycarroll,2018,337,949,505.0,12,16,3905.0,82,1989-01-06,192.33333333333331,79.0,England,Medium/High,54.66666666666666,81.83333333333333,76.66666666666667,Forward,29,2249.0,34.0,66.1470588235294,192.0,17.0,21.355904712416166,3.5,2.0,0.0,1898.0,99.0
andycarroll,2019,190,949,708.0,19,21,3905.0,82,1989-01-06,192.33333333333331,79.0,England,Medium/High,54.66666666666666,81.83333333333333,76.66666666666667,Forward,30,2754.0,46.0,59.869565217391305,240.33333333333334,15.333333333333334,21.355904712416166,3.5,2.0,1.0,2847.0,337.0
andycarroll,2020,38,949,443.0,17,35,3905.0,82,1989-01-06,192.33333333333331,79.0,England,Medium/High,54.66666666666666,81.83333333333333,76.66666666666667,Forward,31,3462.0,65.0,53.261538461538464,227.75,16.25,21.355904712416166,3.5,2.0,1.0,3796.0,190.0
angelgomes,2018,10,25,35.0,2,3,71.0,5,2000-08-31,168.25,61.0,England,Medium/Medium,74.25,40.75,66.0,Midfielder,18,,,,,,21.548631242424307,3.0,3.0,,,
angeloogbonna,2016,200,281,1850.0,20,24,12444.0,135,1988-05-23,191.0,86.0,Italy,Medium/Medium,64.66666666666667,75.83333333333333,78.33333333333333,Defender,28,,,,,,23.573915188728378,3.0,1.0,,,
angeloogbonna,2019,11,281,2937.0,31,36,12444.0,135,1988-05-23,191.0,86.0,Italy,Medium/Medium,64.66666666666667,75.83333333333333,78.33333333333333,Defender,31,1850.0,20.0,92.5,200.0,20.0,23.573915188728378,3.0,1.0,1.0,281.0,200.0
angeloogbonna,2020,70,281,2628.0,28,29,12444.0,135,1988-05-23,191.0,86.0,Italy,Medium/Medium,64.66666666666667,75.83333333333333,78.33333333333333,Defender,32,4787.0,51.0,93.86274509803921,105.5,25.5,23.573915188728378,3.0,1.0,0.0,562.0,11.0
anthonyknockaert,2020,20,38,0.0,0,3,4521.0,63,1991-11-20,172.0,69.0,France,High/High,74.5,64.16666666666667,74.83333333333333,Midfielder,29,,,,,,23.323418063818284,4.0,3.0,,,
anthonymartial,2016,7,285,1582.0,25,31,9291.0,136,1995-12-05,183.4,76.0,France,Medium/Low,89.6,73.0,82.8,Forward,21,,,,,,22.595134435103798,2.5,2.0,,,
anthonymartial,2017,14,285,1671.0,30,34,9291.0,136,1995-12-05,183.4,76.0,France,Medium/Low,89.6,73.0,82.8,Forward,22,1582.0,25.0,63.28,7.0,25.0,22.595134435103798,2.5,2.0,0.0,285.0,7.0
anthonymartial,2018,55,285,1704.0,27,30,9291.0,136,1995-12-05,183.4,76.0,France,Medium/Low,89.6,73.0,82.8,Forward,23,3253.0,55.0,59.14545454545455,10.5,27.5,22.595134435103798,2.5,2.0,0.0,570.0,14.0
anthonymartial,2019,74,285,2723.0,32,32,9291.0,136,1995-12-05,183.4,76.0,France,Medium/Low,89.6,73.0,82.8,Forward,24,4957.0,82.0,60.451219512195124,25.333333333333332,27.333333333333332,22.595134435103798,2.5,2.0,0.0,855.0,55.0
anthonymartial,2020,135,285,1611.0,22,23,9291.0,136,1995-12-05,183.4,76.0,France,Medium/Low,89.6,73.0,82.8,Forward,25,7680.0,114.0,67.36842105263158,37.5,28.5,22.595134435103798,2.5,2.0,0.0,1140.0,74.0
antoneerobinson,2020,10,194,2338.0,28,31,2338.0,28,1997-08-08,182.0,67.0,United States,Medium/Medium,85.5,63.25,68.0,Defender,23,,,,,,20.227025721531216,3.0,1.0,,,
anwarelghazi,2019,14,25,2148.0,34,37,3848.0,62,1995-05-03,189.0,88.83333333333333,Netherlands,Medium/Low,78.83333333333333,70.16666666666667,74.83333333333333,Midfielder,24,,,,,,24.868658025624516,2.5,3.0,,,
arongunnarsson,2018,79,332,2368.0,28,31,2368.0,28,1989-04-22,177.4,76.4,Iceland,Medium/High,61.8,75.6,70.8,Midfielder,29,,,,,,24.276503014226538,3.5,3.0,,,
arthurmasuaku,2016,160,321,1026.0,13,16,6938.0,92,1993-11-07,179.0,70.0,DR Congo,High/Medium,85.0,71.5,75.66666666666667,Defender,23,,,,,,21.847008520333322,3.5,1.0,,,
arthurmasuaku,2018,40,321,1862.0,23,35,6938.0,92,1993-11-07,179.0,70.0,DR Congo,High/Medium,85.0,71.5,75.66666666666667,Defender,25,1026.0,13.0,78.92307692307692,160.0,13.0,21.847008520333322,3.5,1.0,1.0,321.0,160.0
arthurmasuaku,2019,24,321,1030.0,17,24,6938.0,92,1993-11-07,179.0,70.0,DR Congo,High/Medium,85.0,71.5,75.66666666666667,Defender,26,2888.0,36.0,80.22222222222223,100.0,18.0,21.847008520333322,3.5,1.0,0.0,642.0,40.0
arthurmasuaku,2020,97,321,1045.0,12,12,6938.0,92,1993-11-07,179.0,70.0,DR Congo,High/Medium,85.0,71.5,75.66666666666667,Defender,27,3918.0,53.0,73.9245283018868,74.66666666666667,17.666666666666668,21.847008520333322,3.5,1.0,0.0,963.0,24.0
arturboruc,2016,13,13,3325.0,35,35,4465.0,47,1980-02-20,193.0,87.16666666666667,Poland,Medium/Medium,,,75.33333333333333,Goalkeeper,36,,,,,,23.40107564408888,3.0,0.0,,,
ashleybarnes,2016,96,468,1861.0,28,28,9479.0,142,1989-10-30,186.0,80.16666666666667,Austria,High/High,65.33333333333333,79.66666666666667,74.66666666666667,Forward,27,,,,,,23.17223571125756,4.0,2.0,,,
